X,X.1,CHARACTER_ID,SCRIPT_ID,CHARACTER_NAME,ACTOR_NAME,PARTIAL_MATCH,GENDER,MISGENDER,CHARACTER_RACE,ACTOR_RACE,PART_WHITE,AGE,EXTRACTED_WORDS,POLYGRAPH_.WORDS,IMDB_ACTOR_HOMEPAGE,GOOGLE_IMAGE_SEARCH
481,1824,6621,2314,da joe lobruto,David Strathairn,n,m,,w,w,,58,372,1198,http://www.imdb.com/name/nm0000657/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=David+Strathairn+actor&source=lnms&tbm=isch
482,1823,1826,1080,pierce patchett,David Strathairn,n,m,,w,w,,48,291,378,http://www.imdb.com/name/nm0000657/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=David+Strathairn+actor&source=lnms&tbm=isch
483,1822,11542,3701,peter ward,David Strathairn,n,m,,w,w,,61,243,341,http://www.imdb.com/name/nm0000657/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=David+Strathairn+actor&source=lnms&tbm=isch
484,2478,5794,2100,ten bears,Floyd 'Red Crow' Westerman,y,m,,i,i,n,54,497,1720,http://www.imdb.com/name/nm0922671/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Floyd+Westerman+actor&source=lnms&tbm=isch
485,2566,11189,3597,earl bass,Fred Ward,n,m,,w,w,,48,1276,5344,http://www.imdb.com/name/nm0911542/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Fred+Ward+actor&source=lnms&tbm=isch
486,2565,5726,2085,the captain,Fred Ward,n,m,,w,w,,58,443,1902,http://www.imdb.com/name/nm0911542/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Fred+Ward+actor&source=lnms&tbm=isch
487,2806,8541,2793,wesley birdsong,Gordon Tootoosis,n,m,,i,i,n,55,261,902,http://www.imdb.com/name/nm0867588/?ref_=ttfc_fc_cl_t47,https://www.google.com/search?q=Gordon+Tootoosis+actor&source=lnms&tbm=isch
488,2820,5783,2100,kicking bird,Graham Greene,n,m,,i,i,n,38,535,1880,http://www.imdb.com/name/nm0001295/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Graham+Greene+actor&source=lnms&tbm=isch
489,5620,4260,1689,earl kenai,Michael Lawrenchuk,n,m,,i,i,n,37,240,356,http://www.imdb.com/name/nm0493094/?ref_=ttfc_fc_cl_t9,https://www.google.com/search?q=Michael+Lawrenchuk+actor&source=lnms&tbm=isch
490,5780,6737,2344,lila littlewolf,Misty Upham,n,f,,i,i,n,26,911,3164,http://www.imdb.com/name/nm1130728/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Misty+Upham+actress&source=lnms&tbm=isch
491,5818,2507,1252,mary,Moriah 'Shining Dove' Snyder,y,f,,i,i,n,12,217,294,http://www.imdb.com/name/nm0811528/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Moriah+Snyder+actress&source=lnms&tbm=isch
492,7575,15425,5164,jacob black,Taylor Lautner,n,m,,i,w,,17,1228,3556,http://www.imdb.com/name/nm1210124/?ref_=ttfc_fc_cl_t9,https://www.google.com/search?q=Taylor+Lautner+actor&source=lnms&tbm=isch
493,7793,10674,3457,max peltier,Tom Sizemore,n,m,,w,w,,34,1169,3728,http://www.imdb.com/name/nm0001744/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Tom+Sizemore+actor&source=lnms&tbm=isch
494,7792,6006,2152,dewitt albright,Tom Sizemore,n,m,,w,w,,34,602,2040,http://www.imdb.com/name/nm0001744/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Tom+Sizemore+actor&source=lnms&tbm=isch
495,7791,11248,3612,cody nicholson,Tom Sizemore,n,m,,w,w,,32,276,858,http://www.imdb.com/name/nm0001744/?ref_=ttfc_fc_cl_t18,https://www.google.com/search?q=Tom+Sizemore+actor&source=lnms&tbm=isch
496,7926,1006,871,jim morrison,Val Kilmer,n,m,,w,w,,32,4724,6707,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
497,7925,4339,1710,virgil adamson,Val Kilmer,n,m,,w,w,,40,3154,9028,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
498,7924,2748,1296,danny parker,Val Kilmer,y,m,,w,w,,43,2837,3244,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
499,7923,2990,1350,scott,Val Kilmer,n,m,,w,w,,45,2080,2988,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
500,7922,3266,1409,ray levoi,Val Kilmer,n,m,,w,w,,33,1882,2700,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
501,7921,2563,1267,chris knight,Val Kilmer,n,m,,w,w,,26,1770,2498,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
502,7920,11608,3724,madmartigan,Val Kilmer,n,m,,w,w,,29,979,2958,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
503,7919,1499,996,chris shiherlis,Val Kilmer,n,m,,w,w,,36,252,501,http://www.imdb.com/name/nm0000174/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Val+Kilmer+actor&source=lnms&tbm=isch
504,8087,11863,3806,julian grendel,Wayne Newton,n,m,,w,i,y,48,621,940,http://www.imdb.com/name/nm0628611/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Wayne+Newton+actor&source=lnms&tbm=isch
505,8108,13674,4503,magua,Wes Studi,n,m,,i,i,n,45,540,1407,http://www.imdb.com/name/nm0836071/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Wes+Studi+actor&source=lnms&tbm=isch
